Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0246578,9,2026-05-16,"Donnie Darko","Donnie Darko",https://www.imdb.com/title/tt0246578,Movie,8.0,113,2001,"Sci-Fi, Thriller, Mystery, Drama",912209,"2001-01-19","Richard Kelly"
tt0289043,8,2026-05-16,"28 Days Later","28 Days Later",https://www.imdb.com/title/tt0289043,Movie,7.5,113,2002,"Sci-Fi, Thriller, Drama, Horror",547840,"2003-06-27","Danny Boyle"
tt0377092,6,2026-05-16,"Mean Girls","Mean Girls",https://www.imdb.com/title/tt0377092,Movie,7.1,97,2004,"Comedy",486976,"2004-04-30","Mark Waters"
tt0387564,7,2026-05-16,"Saw","Saw",https://www.imdb.com/title/tt0387564,Movie,7.6,103,2004,"Mystery, Horror, Thriller",510171,"2004-10-29","James Wan"
tt0936501,7,2026-05-16,"Taken","Taken",https://www.imdb.com/title/tt0936501,Movie,7.7,90,2008,"Action, Thriller, Crime",672011,"2009-01-30","Pierre Morel"
tt1013752,7,2026-05-16,"Fast & Furious","Fast & Furious",https://www.imdb.com/title/tt1013752,Movie,6.5,107,2009,"Action, Thriller",335648,"2009-04-03","Justin Lin"
tt0947798,8,2026-05-16,"Black Swan","Black Swan",https://www.imdb.com/title/tt0947798,Movie,8.0,108,2010,"Drama, Thriller",889238,"2010-12-17","Darren Aronofsky"
tt0195714,9,2026-05-16,"Final Destination","Final Destination",https://www.imdb.com/title/tt0195714,Movie,6.7,98,2000,"Thriller, Horror",335184,"2000-03-17","James Wong"
tt1119646,8,2026-05-16,"The Hangover","The Hangover",https://www.imdb.com/title/tt1119646,Movie,7.7,100,2009,"Comedy",930264,"2009-06-05","Todd Phillips"
tt2369135,6,2026-05-16,"Need for Speed","Need for Speed",https://www.imdb.com/title/tt2369135,Movie,6.4,132,2014,"Action, Thriller, Crime, Drama",186918,"2014-03-14","Scott Waugh"
tt3062096,7,2026-05-16,"Inferno","Inferno",https://www.imdb.com/title/tt3062096,Movie,6.2,121,2016,"Thriller, Mystery, Action, Crime, Drama, Adventure",202483,"2016-10-28","Ron Howard"
tt0418279,10,2026-05-16,"Transformers","Transformers",https://www.imdb.com/title/tt0418279,Movie,7.1,144,2007,"Action, Sci-Fi, Adventure",718889,"2007-07-03","Michael Bay"
tt7784604,8,2026-05-16,"Hereditary","Hereditary",https://www.imdb.com/title/tt7784604,Movie,7.3,127,2018,"Horror, Drama, Mystery, Thriller",455760,"2018-06-08","Ari Aster"
tt8946378,7,2026-05-16,"Knives Out","Knives Out",https://www.imdb.com/title/tt8946378,Movie,7.9,130,2019,"Crime, Mystery, Thriller, Drama, Comedy",877750,"2019-11-27","Rian Johnson"
tt8772262,9,2026-05-16,"Midsommar","Midsommar",https://www.imdb.com/title/tt8772262,Movie,7.1,148,2019,"Horror, Drama, Mystery, Thriller",483867,"2019-07-03","Ari Aster"
tt10934196,5,2026-05-16,"South Wind 2: Speed Up","Juzni vetar 2: Ubrzanje",https://www.imdb.com/title/tt10934196,Movie,6.3,127,2021,"Crime, Drama, Thriller",4366,"2021-11-02","Milos Avramovic"
tt7144666,6,2026-05-16,"The Black Phone","The Black Phone",https://www.imdb.com/title/tt7144666,Movie,6.9,103,2021,"Horror, Thriller, Mystery",264067,"2022-06-24","Scott Derrickson"
tt9764362,8,2026-05-16,"The Menu","The Menu",https://www.imdb.com/title/tt9764362,Movie,7.2,107,2022,"Horror, Thriller, Comedy",499859,"2022-11-18","Mark Mylod"
tt15398776,9,2026-05-16,"Oppenheimer","Oppenheimer",https://www.imdb.com/title/tt15398776,Movie,8.2,180,2023,"Biography, Drama, History",1033779,"2023-07-21","Christopher Nolan"
tt33978029,8,2026-05-16,"Ready or Not 2: Here I Come","Ready or Not: Here I Come",https://www.imdb.com/title/tt33978029,Movie,6.6,108,2026,"Horror, Comedy, Thriller",33738,"2026-03-20","Matt Bettinelli-Olpin,Tyler Gillett"
tt7798634,7,2026-05-16,"Ready or Not","Ready or Not",https://www.imdb.com/title/tt7798634,Movie,6.9,95,2019,"Thriller, Horror, Mystery, Comedy, Action",248553,"2019-08-21","Matt Bettinelli-Olpin,Tyler Gillett"
tt31193180,7,2026-05-16,"Sinners","Sinners",https://www.imdb.com/title/tt31193180,Movie,7.5,137,2025,"Drama, Thriller, Horror, Action, Music",478656,"2025-04-18","Ryan Coogler"
tt22048412,8,2026-05-16,"MaXXXine","MaXXXine",https://www.imdb.com/title/tt22048412,Movie,6.2,103,2024,"Horror, Crime",86966,"2024-07-05","Ti West"
tt16311594,7,2026-05-16,"F1: The Movie","F1",https://www.imdb.com/title/tt16311594,Movie,7.6,155,2025,"Sport, Drama, Action",358710,"2025-06-27","Joseph Kosinski"
tt0468569,10,2026-05-16,"The Dark Knight","The Dark Knight",https://www.imdb.com/title/tt0468569,Movie,9.1,152,2008,"Drama, Crime, Thriller, Action",3168368,"2008-07-18","Christopher Nolan"
