Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt33612209,2026-05-16,2026-05-16,,"The Devil Wears Prada 2","The Devil Wears Prada 2",https://www.imdb.com/title/tt33612209/,Movie,6.7,119,2026,"Comedy, Drama",39864,2026-05-01,"David Frankel",,
2,tt5675620,2026-05-16,2026-05-16,,"The Punisher","The Punisher",https://www.imdb.com/title/tt5675620/,TV Series,8.4,60,2017,"Action, Crime, Drama, Thriller",303145,2017-11-17,,,
3,tt30144839,2026-05-16,2026-05-16,,"One Battle After Another","One Battle After Another",https://www.imdb.com/title/tt30144839/,Movie,7.6,161,2025,"Action, Crime, Drama, Thriller",404871,2025-09-26,"Paul Thomas Anderson",,
4,tt0086250,2026-05-16,2026-05-16,,"Scarface","Scarface",https://www.imdb.com/title/tt0086250/,Movie,8.3,170,1983,"Crime, Drama",1016076,1983-12-09,"Brian De Palma",,
5,tt0250494,2026-05-16,2026-05-16,,"Legally Blonde","Legally Blonde",https://www.imdb.com/title/tt0250494/,Movie,6.5,96,2001,"Comedy, Romance",285160,2001-07-13,"Robert Luketic",,
6,tt5052448,2026-05-16,2026-05-16,,"Get Out","Get Out",https://www.imdb.com/title/tt5052448/,Movie,7.8,104,2017,"Horror, Mystery, Thriller",817440,2017-02-24,"Jordan Peele",,
7,tt0443706,2026-05-16,2026-05-16,,"Zodiac","Zodiac",https://www.imdb.com/title/tt0443706/,Movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",673540,2007-03-02,"David Fincher",,
