Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt32916440,2026-05-16,2026-05-16,,"Marty Supreme","Marty Supreme",https://www.imdb.com/title/tt32916440/,Movie,7.6,149,2025,"Drama, Sport",174209,2025-12-25,"Josh Safdie",,
2,tt2278388,2026-05-16,2026-05-16,,"The Grand Budapest Hotel","The Grand Budapest Hotel",https://www.imdb.com/title/tt2278388/,Movie,8.1,99,2014,"Comedy, Drama",971476,2014-03-28,"Wes Anderson",,
3,tt6587046,2026-05-16,2026-05-16,,"The Boy and the Heron","Kimi-tachi wa dô ikiru ka",https://www.imdb.com/title/tt6587046/,Movie,7.3,124,2023,"Animation, Adventure, Drama, Fantasy",131697,2023-12-08,"Hayao Miyazaki",,
4,tt1130884,2026-05-16,2026-05-16,,"Shutter Island","Shutter Island",https://www.imdb.com/title/tt1130884/,Movie,8.2,138,2010,"Drama, Mystery, Thriller",1647959,2010-02-19,"Martin Scorsese",,
5,tt9362722,2026-05-16,2026-05-16,,"Spider-Man: Across the Spider-Verse","Spider-Man: Across the Spider-Verse",https://www.imdb.com/title/tt9362722/,Movie,8.5,140,2023,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",524336,2023-06-02,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",,
6,tt0156887,2026-05-16,2026-05-16,,"Perfect Blue","Pâfekuto burû",https://www.imdb.com/title/tt0156887/,Movie,8.0,82,1997,"Animation, Crime, Drama, Mystery, Thriller",122290,1998-02-28,"Satoshi Kon",,
7,tt0179116,2026-05-16,2026-05-16,,"But I'm a Cheerleader","But I'm a Cheerleader",https://www.imdb.com/title/tt0179116/,Movie,6.9,85,1999,"Comedy, Drama, Romance",51470,2000-08-11,"Jamie Babbit",,
8,tt0172493,2026-05-16,2026-05-16,,"Girl, Interrupted","Girl, Interrupted",https://www.imdb.com/title/tt0172493/,Movie,7.3,127,1999,"Biography, Drama",234869,2000-01-14,"James Mangold",,
9,tt0120689,2026-05-16,2026-05-16,,"The Green Mile","The Green Mile",https://www.imdb.com/title/tt0120689/,Movie,8.6,189,1999,"Crime, Drama, Fantasy, Mystery",1561780,1999-12-10,"Frank Darabont",,
10,tt31434030,2026-05-16,2026-05-16,,"Dracula","Dracula: A Love Tale",https://www.imdb.com/title/tt31434030/,Movie,6.2,129,2025,"Fantasy, Horror, Romance",37337,2026-02-06,"Luc Besson",,
