Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt1396484,9,2026-05-17,"It","It",https://www.imdb.com/title/tt1396484,Movie,7.3,135,2017,"Horror",696225,"2017-09-08","Andy Muschietti"
tt6772950,7,2026-05-17,"Truth or Dare","Truth or Dare",https://www.imdb.com/title/tt6772950,Movie,5.3,100,2018,"Horror, Thriller, Mystery",74070,"2018-04-13","Jeff Wadlow"
tt9243946,7,2026-05-17,"El Camino","El Camino",https://www.imdb.com/title/tt9243946,Movie,7.3,122,2019,"Drama, Crime, Thriller",344023,"2019-10-11","Vince Gilligan"
tt0434409,9,2026-05-17,"V for Vendetta","V for Vendetta",https://www.imdb.com/title/tt0434409,Movie,8.1,132,2005,"Thriller, Action, Drama, Sci-Fi",1246577,"2006-03-17","James McTeigue"
tt0075148,8,2026-05-17,"Rocky","Rocky",https://www.imdb.com/title/tt0075148,Movie,8.1,120,1976,"Sport, Drama",688870,"1976-12-03","John G. Avildsen"
tt6108262,10,2026-05-17,"Black Sun","Senke nad Balkanom",https://www.imdb.com/title/tt6108262,TV Series,8.8,60,2017,"Crime, Thriller, Drama",13960,"2017-10-22",
tt10952900,9,2026-05-17,"South Wind","Juzni vetar",https://www.imdb.com/title/tt10952900,TV Series,8.0,43,2019,"Crime, Drama, Thriller",6404,"2020-01-19",
tt0855822,8,2026-05-17,"Huddersfield","Hadersfild",https://www.imdb.com/title/tt0855822,Movie,8.3,95,2007,"Drama",3545,"2007-05-07","Ivan Zivkovic"
tt0195714,9,2026-05-17,"Final Destination","Final Destination",https://www.imdb.com/title/tt0195714,Movie,6.7,98,2000,"Thriller, Horror",335202,"2000-03-17","James Wong"
tt0116860,8,2026-05-17,"Pretty Village, Pretty Flame","Lepa sela lepo gore",https://www.imdb.com/title/tt0116860,Movie,8.6,115,1996,"History, Drama, War",19027,"1997-11-06","Srdjan Dragojevic"
